WMC,CBO,RFC,LOC,NPM,isExistBug
1,2,1,9,1,0
51,6,14,222,0,0
5,2,2,16,1,0
2,0,1,9,1,0
6,0,6,35,6,0
65,6,42,517,50,0
1,1,1,6,1,0
1,0,1,6,1,0
2,1,2,10,6,0
1,1,1,6,1,0
7,0,6,60,6,0
5,6,10,41,17,0
419,25,107,1150,11,0
2,2,2,10,18,0
5,0,2,24,1,0
2,2,2,10,18,0
281,8,63,1148,18,1
28,2,19,153,16,0
83,6,27,235,9,0
4,0,1,10,1,0
3,0,1,11,1,0
5,0,2,21,2,0
35,6,15,142,18,0
0,0,0,4,0,0
82,1,30,294,26,0
10,6,13,81,18,0
13,4,12,77,6,0
175,19,53,574,22,0
11,1,2,46,1,0
9,1,2,28,1,0
30,4,17,173,10,0
26,4,14,159,10,0
21,3,9,89,4,0
4,2,5,21,24,0
29,8,12,96,20,0
41,3,20,206,14,0
14,0,11,64,10,0
31,4,8,145,0,0
10,1,3,21,2,0
25,8,15,108,0,0
3,3,5,22,17,0
3,2,4,18,17,0
12,9,14,92,20,0
7,1,6,37,6,0
17,8,13,73,0,0
2,2,3,13,16,0
14,10,11,75,19,0
7,1,7,37,6,0
160,5,14,576,3,0
41,1,3,92,1,0
71,18,46,305,25,0
18,3,15,97,11,0
4,2,6,21,3,0
2,1,2,21,1,0
15,1,3,46,2,0
141,7,35,602,17,0
2,0,1,10,1,0
10,3,5,54,13,0
16,4,13,93,7,0
25,7,9,144,13,0
9,2,4,40,12,0
91,6,25,442,15,0
2,1,2,9,8,0
2,1,3,12,2,0
11,2,7,59,15,0
28,3,11,101,13,0
18,1,4,78,12,0
10,5,12,68,9,0
10,4,12,68,9,0
9,4,13,67,9,0
10,4,12,68,9,0
7,4,10,56,9,0
10,4,12,68,9,0
182,84,136,743,8,0
3,0,1,10,1,0
2,0,1,10,1,0
13,1,7,56,7,0
5,2,3,30,12,0
15,1,4,62,14,0
10,6,15,56,8,0
20,11,22,98,17,0
19,3,6,123,0,0
45,9,17,187,12,0
10,6,14,53,8,0
16,4,8,68,13,0
1,1,1,6,17,0
46,2,12,213,12,0
19,4,7,70,13,0
7,2,4,28,17,0
13,2,6,68,12,0
28,3,9,152,12,0
21,1,3,92,12,0
13,4,14,88,8,0
10,2,4,38,12,0
3,0,1,11,1,0
8,1,3,38,12,0
11,2,4,64,12,0
13,0,1,30,1,0
25,6,13,144,15,0
8,0,4,31,2,0
23,6,11,104,14,0
5,0,3,24,1,0
11,1,4,55,12,0
31,3,16,207,12,0
48,3,9,186,0,0
38,7,15,184,12,0
27,8,30,121,7,1
46,12,32,218,13,0
61,14,42,287,13,1
27,9,15,134,12,0
8,0,3,28,3,0
10,0,2,37,2,0
11,5,9,64,13,0
58,1,17,211,0,1
6,3,5,39,14,0
6,0,2,20,1,0
25,4,15,122,7,0
13,8,15,58,8,0
13,8,15,58,8,0
13,8,15,58,8,0
11,1,3,58,13,0
80,0,32,382,31,0
9,0,4,40,3,0
39,0,12,135,11,0
2,2,4,30,12,0
18,3,7,77,13,0
94,7,27,424,13,1
1,2,3,6,13,0
104,1,31,361,26,0
8,0,3,38,0,0
45,8,19,165,13,0
19,0,12,91,10,0
11,5,15,56,9,0
9,4,12,46,8,0
34,3,14,162,12,0
5,0,1,17,1,0
9,5,8,58,0,0
6,1,2,22,1,0
7,1,2,26,1,0
56,8,27,287,7,0
14,7,17,67,9,0
10,8,11,75,2,0
3,0,3,10,3,0
5,2,7,33,4,0
8,1,6,43,5,0
2,1,2,15,2,0
10,1,8,76,6,0
14,7,17,67,9,0
9,4,12,49,7,0
9,4,12,49,7,0
84,8,30,349,0,1
40,2,10,193,7,0
12,2,9,62,8,0
48,9,23,206,8,0
5,5,6,28,12,0
12,2,8,53,4,0
24,5,14,101,14,0
13,8,15,69,7,0
1,4,4,15,0,0
1,2,3,6,13,0
11,8,18,61,8,0
13,5,12,59,7,0
13,5,13,78,12,0
10,2,3,43,12,0
40,10,21,181,8,0
2,1,2,10,27,0
29,4,10,153,12,0
27,3,17,151,10,0
13,8,15,62,7,0
24,6,19,169,0,1
4,1,6,27,34,0
6,3,6,31,12,0
3,1,5,22,3,0
27,9,13,129,4,0
7,1,3,26,2,0
8,2,4,24,2,0
6,6,6,28,1,0
24,4,12,95,6,0
2,0,2,24,1,0
398,4,70,1202,8,0
18,1,8,532,2,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
8,0,8,80,8,0
2,1,3,19,1,0
30,2,20,226,14,0
12,1,5,81,1,0
1,1,1,9,1,0
8,1,4,41,1,0
2,1,1,9,1,0
5,0,4,40,1,0
3,1,1,6,1,0
48,1,15,161,9,0
150,54,129,1114,35,1
8,1,1,23,1,0
1,0,1,6,1,0
3,0,2,14,1,0
3,1,2,12,2,0
2,0,1,7,1,0
5,1,1,16,1,0
6,1,1,24,1,0
1,1,1,10,1,0
2,1,1,8,1,0
2,1,1,8,1,0
2,1,2,10,1,0
9,1,4,49,3,0
9,1,4,48,3,0
3,3,5,11,5,0
2,1,3,11,1,0
2,1,3,14,2,0
2,1,3,14,2,0
3,3,5,11,5,0
21,3,7,91,1,0
21,3,7,92,1,0
3,3,5,11,5,0
5,1,3,27,2,0
5,1,3,27,2,0
3,3,5,11,5,0
11,1,7,96,6,1
2,0,2,9,2,0
9,1,5,66,3,0
6,2,6,37,3,0
148,10,34,772,10,0
0,0,0,1,0,0
15,0,5,40,3,0
32,20,38,310,17,0
2,2,3,15,1,0
6,2,8,36,3,0
2,4,6,14,1,0
3,0,3,20,3,0
2,3,4,11,1,0
2,3,4,11,1,0
2,4,4,14,17,0
2,3,4,11,1,0
17,3,4,74,3,0
5,0,5,31,5,0
38,1,24,208,13,0
36,0,17,198,16,0
6,2,5,29,1,0
46,0,8,229,1,0
7,0,5,39,4,0
0,0,0,4,0,0
18,0,3,74,3,0
3,1,3,17,3,0
10,3,8,159,4,0
2,1,3,8,2,0
3,1,2,9,2,0
6,3,3,19,2,0
5,3,3,18,2,0
3,2,4,8,1,0
1,0,1,6,0,0
6,0,5,59,4,0
34,9,20,176,4,0
4,0,2,16,2,0
1,0,1,10,1,0
19,6,13,106,1,0
6,0,4,24,3,0
22,1,10,103,3,0
3,3,4,15,5,0
3,3,4,15,5,0
6,0,4,43,0,0
82,10,48,418,8,0
2,2,3,10,1,0
10,3,11,36,5,0
20,7,6,64,3,0
65,13,38,384,16,0
4,0,4,25,4,0
49,11,51,322,22,0
1,0,1,6,1,0
1,1,2,6,1,0
4,4,7,15,2,0
103,3,17,325,5,0
15,2,8,65,6,0
2,2,2,9,1,0
19,0,4,50,2,0
54,5,21,337,7,0
8,1,5,34,4,0
7,0,5,58,4,0
1,0,1,5,0,0
1,2,4,13,1,0
17,1,13,116,4,0
1,1,1,7,1,0
3,1,3,11,1,0
2,1,1,10,1,0
4,1,3,10,2,0
3,1,4,12,3,0
7,1,4,15,2,0
2,1,1,10,1,0
5,6,10,32,4,0
4,2,5,24,3,0
9,2,5,47,4,0
4,2,2,16,1,0
15,1,7,62,6,0
7,4,9,41,3,0
37,0,17,125,15,0
1,2,2,7,0,0
25,0,14,145,13,0
17,3,8,85,2,0
5,1,5,21,4,0
9,7,14,95,3,0
4,0,4,33,0,0
14,0,5,72,4,0
9,3,10,44,3,0
23,7,24,184,1,0
58,1,26,202,24,0
77,1,17,206,12,0
0,0,0,1,0,0
34,1,14,154,12,1
2,1,4,12,1,0
21,1,14,96,9,0
21,1,13,102,22,0
6,1,5,52,4,0
9,1,7,52,1,0
3,1,3,21,1,0
7,2,4,29,2,0
2,1,2,16,1,0
8,1,3,52,2,0
13,1,7,68,1,0
167,4,35,541,11,0
47,1,25,249,17,0
1,0,1,5,1,0
4,1,4,31,2,0
3,3,5,36,1,0
7,1,12,79,7,0
75,8,38,362,11,0
1,1,2,5,1,0
1,1,1,5,1,0
1,2,3,6,1,0
245,0,42,946,10,0
3,1,2,12,1,0
1,1,1,6,1,0
4,1,1,11,1,0
7,1,1,15,1,0
2,1,1,7,1,0
1,1,1,8,1,0
26,5,18,114,28,0
260,8,101,1174,33,0
12,0,8,21,8,0
4,0,2,11,2,0
1,2,2,5,1,0
5,2,5,23,0,0
1,0,1,6,1,0
1,2,2,6,1,0
3,1,1,7,1,0
1,1,2,7,1,0
2,1,2,8,2,0
34,1,10,113,2,0
14,0,2,82,0,0
2,1,5,16,0,0
2,1,4,18,2,0
51,1,21,211,16,0
1,1,2,5,1,0
63,1,21,276,8,0
72,0,42,610,28,0
1,1,2,5,1,0
8,0,1,32,1,0
2,1,2,22,2,0
2,1,3,13,1,0
2,1,2,20,2,0
1,1,1,8,1,0
3,1,1,14,1,0
4,1,2,23,1,0
26,5,15,159,9,0
3,3,4,34,2,0
5,1,3,27,3,0
1,2,1,6,35,0
1,1,2,8,1,0
14,5,13,94,1,0
4,2,6,15,3,0
44,6,34,357,34,1
1,1,1,8,1,0
2,3,5,9,2,0
6,0,2,21,2,0
5,0,2,20,2,0
4,2,5,12,3,0
1,2,3,6,1,0
15,3,6,65,4,1
17,3,8,91,5,0
6,1,2,28,1,0
8,2,7,58,9,0
21,2,5,99,1,0
393,23,113,1767,12,1
4,1,5,20,0,0
6,2,7,33,3,0
17,14,25,109,2,0
6,2,7,32,3,0
5,2,4,31,1,0
1,2,1,6,51,0
2,4,7,14,2,0
3,5,9,56,1,0
2,3,4,18,1,0
29,21,43,173,6,0
3,1,3,16,2,0
2,2,3,8,2,0
2,1,3,8,2,0
6,4,7,35,3,0
6,3,6,35,3,0
2,4,5,10,2,0
6,0,5,37,5,0
45,5,17,223,10,0
100,1,25,365,9,0
49,0,28,344,19,0
1,1,2,5,1,0
34,2,13,175,4,0
18,0,5,107,3,0
8,0,4,45,4,0
26,1,10,133,7,0
103,9,33,392,8,1
6,2,7,26,6,0
22,1,10,83,6,0
16,1,5,55,2,0
10,3,10,63,1,0
4,1,4,15,3,0
1,0,1,9,1,0
12,3,12,56,8,0
52,5,26,250,11,0
10,4,6,65,4,0
5,1,1,21,1,0
2,0,2,12,2,0
2,1,3,14,2,0
6,2,1,17,1,0
2,1,3,14,2,0
6,2,1,17,1,0
5,2,8,22,5,0
16,4,6,81,3,0
4,1,4,23,4,0
5,1,4,25,1,0
1,1,2,6,1,0
27,7,25,122,12,0
2,3,5,12,1,0
2,3,5,13,1,0
4,5,8,21,1,0
10,2,8,45,6,0
7,4,8,43,1,0
59,17,50,382,8,0
3,2,3,8,1,0
2,2,4,9,2,0
3,1,2,8,1,0
1,2,3,6,1,0
6,1,2,38,2,0
3,1,1,12,1,0
2,2,2,14,1,0
1,1,2,6,1,0
2,1,2,8,1,0
18,8,13,84,3,0
2,3,3,17,2,0
2,4,5,19,2,0
2,2,4,19,2,0
13,3,6,65,3,0
3,3,3,27,2,0
2,3,4,18,2,0
5,2,6,61,2,0
1,0,1,6,1,0
1,0,1,6,1,0
15,1,12,71,12,0
8,3,3,34,2,0
8,1,3,33,2,0
151,8,47,597,18,1
1,1,1,8,1,0
1,0,1,7,1,0
91,12,39,304,34,1
19,1,10,71,5,0
13,1,9,87,5,0
43,13,25,142,4,0
9,0,4,32,2,0
3,1,3,15,2,0
24,6,14,78,7,1
36,4,17,276,6,0
2,1,3,10,1,0
1,1,2,6,1,0
2,1,3,10,1,0
1,1,2,6,1,0
2,1,3,10,1,0
1,1,2,6,1,0
2,1,3,10,1,0
1,1,2,6,1,0
6,1,1,29,1,0
1,1,2,5,1,0
1,0,1,6,1,0
3,1,2,20,2,0
32,0,8,113,1,0
12,2,5,32,2,0
5,1,4,19,2,0
16,1,11,114,6,0
4,2,4,17,2,0
20,3,9,66,7,0
29,3,14,106,9,1
18,0,7,58,6,0
61,9,35,262,2,0
13,1,4,53,1,0
1,1,1,7,1,0
8,4,9,40,6,0
15,1,5,68,4,0
16,5,15,101,8,0
9,3,10,40,6,0
18,3,11,59,0,0
1,2,4,9,1,0
1,2,4,9,1,0
6,5,9,37,3,1
7,5,9,42,3,1
10,5,10,51,2,0
9,5,10,46,2,0
3,4,7,46,3,0
6,2,12,43,5,0
38,4,18,164,7,0
55,4,14,277,2,0
16,5,16,74,5,0
47,7,26,219,9,0
8,3,11,32,5,0
246,12,52,993,27,0
4,2,2,12,1,0
1,1,1,6,1,0
42,4,24,148,9,0
7,1,8,30,6,0
74,7,37,307,19,0
31,14,27,188,8,0
6,4,6,32,1,0
2,1,1,13,1,0
1,1,1,8,1,0
1,1,1,6,1,0
3,2,2,21,1,0
4,2,4,32,2,0
2,1,1,11,1,0
4,2,4,32,1,0
2,1,1,6,1,0
7,1,8,24,6,0
35,2,16,103,9,0
28,4,16,153,3,0
1,0,1,6,1,0
1,1,1,6,6,0
47,3,24,206,7,0
4,0,4,34,4,0
1,0,1,8,1,0
8,1,4,41,1,0
36,16,53,225,27,0
4,6,7,15,5,0
3,3,4,14,2,0
3,3,4,14,2,0
3,3,4,14,2,0
5,8,13,23,2,0
20,16,31,244,5,0
6,1,3,41,2,0
3,2,4,15,2,0
3,1,3,13,2,0
2,3,3,10,5,0
3,3,3,17,1,0
1,2,2,10,1,0
2,1,3,9,2,0
2,2,3,9,2,0
1,1,2,10,1,0
3,3,5,17,2,0
3,2,4,16,2,0
4,0,2,16,2,0
9,2,4,45,3,0
12,3,12,66,8,0
2,4,6,21,1,0
6,5,11,52,3,0
8,1,4,39,1,0
11,13,28,119,25,0
1,1,1,6,1,0
2,2,3,9,2,0
2,2,3,9,2,0
4,3,4,33,1,0
2,2,1,11,1,0
3,3,3,25,1,0
1,1,1,6,1,0
5,2,5,25,3,0
8,1,4,35,0,0
5,0,5,23,5,0
13,6,13,71,4,0
10,1,16,59,9,0
12,0,2,50,2,0
73,4,60,560,24,0
3,1,3,10,2,0
2,1,3,8,2,0
5,1,2,14,1,0
7,1,4,15,2,0
1,1,2,6,1,0
1,0,1,6,1,0
1,0,1,6,1,0
1,1,2,6,1,0
110,20,57,627,14,0
2,2,2,9,1,0
4,0,1,17,1,0
2,0,1,9,1,0
2,0,1,18,1,0
1,0,1,7,0,0
1,1,2,6,1,0
1,0,1,4,0,0
26,7,18,126,6,0
2,0,2,10,2,0
3,1,1,10,1,0
1,2,2,5,0,0
5,1,5,77,2,0
5,1,1,18,1,0
2,1,1,14,1,0
246,12,68,1396,30,0
1,0,1,7,1,0
0,0,0,3,0,0
1,1,2,6,1,0
0,0,0,3,0,0
6,1,1,18,1,0
3,1,2,8,1,0
3,1,1,14,1,0
3,0,1,16,1,0
6,2,1,18,1,0
13,4,9,54,1,0
15,1,5,175,0,0
2,0,2,10,2,0
2,0,2,10,2,0
5,1,1,24,1,0
2,1,2,12,1,0
5,1,9,25,5,0
38,3,23,184,5,0
1,2,2,5,1,0
11,5,15,438,4,0
1,1,1,7,1,0
1,2,1,7,1,0
7,1,6,29,3,0
2,1,2,17,1,0
15,5,18,459,4,0
1,0,1,7,1,0
1,0,1,8,1,0
1,0,1,7,1,0
1,1,1,7,1,0
1,1,1,7,1,0
1,2,1,7,1,0
1,2,1,7,1,0
7,1,6,29,3,0
6,1,2,20,1,0
42,9,27,394,3,0
1,1,2,7,1,0
2,1,3,9,2,0
2,1,3,8,2,0
2,1,3,8,2,0
3,1,3,11,2,0
4,3,6,15,2,0
1,4,3,7,10,0
5,1,2,19,1,0
18,5,22,229,2,0
2,1,2,10,1,0
1,0,1,7,1,0
2,0,1,9,1,0
3,1,2,14,1,0
1,2,4,14,1,0
1,1,1,6,1,0
1,1,1,6,1,0
1,1,1,6,1,0
1,1,1,7,1,0
1,1,1,6,1,0
1,1,1,7,1,0
1,1,1,7,1,0
65,4,34,390,9,0
3,2,4,12,1,0
3,1,3,18,1,0
6,1,2,22,1,0
8,1,2,23,1,0
2,1,1,9,1,0
1,1,2,6,1,0
2,1,2,11,1,0
1,1,2,6,1,0
2,1,3,11,1,0
2,1,2,9,1,0
3,2,4,16,1,0
2,2,4,14,1,0
3,0,1,15,1,0
7,5,25,55,1,0
1,2,1,7,1,0
11,3,13,432,4,0
1,1,1,7,1,0
2,2,2,8,1,0
7,1,6,29,3,0
7,0,7,68,1,0
5,1,2,25,1,0
1,0,1,7,1,0
1,1,2,6,1,0
24,1,13,273,3,0
1,1,2,5,1,0
9,2,8,39,6,0
36,6,19,106,10,0
14,7,13,76,3,0
6,4,6,29,2,0
80,6,34,547,7,0
1,1,2,5,1,0
8,1,7,53,2,0
9,1,13,45,8,0
73,1,9,400,6,0
10,0,8,66,3,0
2,1,2,10,2,0
80,4,32,541,7,0
1,1,2,5,1,0
8,1,7,53,2,0
9,1,13,45,8,0
9,2,6,37,4,0
26,5,23,145,0,0
3,3,3,11,4,0
4,5,7,22,4,0
3,1,1,9,1,0
5,2,2,19,1,0
29,9,25,141,2,0
11,4,8,40,5,0
1,4,4,10,5,0
6,1,8,131,2,0
4,1,3,13,2,0
3,1,3,14,2,0
1,2,3,12,1,0
3,1,3,11,2,0
5,2,6,20,0,0
8,2,4,30,2,0
2,2,3,12,1,0
6,2,6,28,0,0
4,1,4,18,2,0
4,1,4,19,2,0
91,7,46,425,17,1
5,0,3,19,1,0
8,0,4,34,1,1
4,5,7,21,6,0
2,2,3,13,1,0
5,2,8,46,2,0
1,2,4,8,1,0
17,9,27,120,5,0
2,5,2,11,8,0
1,1,1,4,1,0
1,3,1,6,7,0
11,1,4,50,1,0
24,5,27,113,13,0
14,0,4,41,3,0
4,5,7,21,6,0
2,2,3,16,1,0
1,4,4,10,5,0
6,3,6,44,2,0
1,2,4,8,1,0
49,9,36,265,9,0
2,0,1,10,1,0
5,0,3,19,1,0
7,0,3,31,1,0
10,3,4,36,2,0
4,5,7,21,6,0
2,2,3,13,1,0
16,3,8,86,3,1
13,0,7,42,5,1
11,2,8,66,3,0
12,2,7,52,5,0
2,0,1,10,1,0
7,1,7,50,5,0
2,6,7,15,5,0
1,4,4,10,5,0
19,4,12,119,2,0
2,2,5,10,31,0
2,3,4,11,1,0
2,2,5,10,2,0
42,11,40,208,12,0
33,1,10,146,8,0
34,2,15,112,25,0
8,2,4,16,5,0
9,1,4,31,2,0
4,5,7,21,6,0
2,2,3,15,1,0
5,8,11,29,5,0
6,3,6,43,2,0
1,2,4,8,1,0
21,11,30,146,5,0
2,5,2,11,8,0
1,1,1,4,1,0
1,3,1,6,7,0
15,4,10,72,4,0
19,3,18,116,11,0
10,3,9,48,4,0
4,4,7,22,6,0
2,2,4,13,1,0
5,8,11,29,5,0
6,3,6,47,2,0
1,2,4,8,1,0
2,2,4,8,2,0
18,7,29,108,10,0
2,5,2,11,8,0
1,1,1,4,1,0
1,3,1,6,7,0
127,14,43,609,13,0
2,1,2,8,1,0
2,1,1,10,1,0
2,0,2,10,2,0
23,1,8,65,5,0
10,0,3,39,2,0
9,0,4,35,3,0
14,1,7,58,4,0
4,0,3,15,2,0
4,4,7,22,6,0
2,2,4,16,1,0
1,4,4,9,5,0
119,8,36,432,7,0
7,0,5,45,4,0
5,0,3,24,2,0
4,4,7,22,6,0
2,2,4,13,1,0
8,2,7,109,2,0
