CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0,1,2,5,5,0,0,26,1,0
0,1,2,5,12,0,0,26,1,0
0,1,1,2,6,0,0,39,1,0
0.270463,1,1,7,12,0,0,65,1,0
0,2,2,2,5,1,0,13,2,0
0.697248,1,11,0,4,0,0,32,4,0
0,1,1,4,7,0,0,20,1,0
0,1,3,4,4,1,0,22,40,0
0,1,2,5,4,0,0,21,1,0
0,1,4,2,1,1,0,9,1,0
0,1,1,8,12,0,0,70,1,0
0,2,3,1,4,0,0,16,3,0
0,1,1,2,1,1,0,5,1,0
0,1,1,7,15,0,0,50,1,0
0,1,1,8,14,0,0,36,1,0
0,1,2,7,10,0,0,35,1,0
0,1,2,5,9,0,0,26,1,0
0,1,1,4,6,0,0,27,1,0
0,1,1,6,5,0,0,30,1,0
0,1,1,2,1,1,0,6,1,0
0,1,1,6,6,0,0,19,1,0
0,1,1,2,1,1,0,5,1,0
0,1,3,4,8,0,0,73,1,0
0,1,1,5,9,0,0,19,1,0
0,1,1,3,2,1,0,6,1,0
0,1,7,6,7,0,0,87,1,0
0,1,5,3,12,0,0,61,1,0
0,1,1,3,10,0,0,30,1,0
0,1,1,2,3,0,0,20,1,0
0.158392,2,60,11,40,2,0,472,19,1
0,1,10,1,3,0,0,35,2,1
0,1,10,6,14,1,0,88,5,0
0,1,2,3,4,0,0,12,1,0
0,2,2,2,4,4,0,14,43,0
0,0,1,0,1,0,0,38,0,1
0,1,8,2,9,0,0,67,6,0
0,1,30,2,19,0,0,171,16,0
0,1,30,2,19,0,0,172,16,0
0,1,8,2,9,0,0,63,6,0
0,1,9,2,9,0,0,66,6,1
0,2,7,4,17,0,0,83,7,0
0,1,2,2,2,0,0,4,1,0
0.2848,2,20,4,35,0,0,183,16,0
1,1,2,2,2,0,0,4,1,0
0.248257,3,21,5,39,0,0,199,17,0
1,1,2,2,2,0,0,4,1,0
0.378004,2,13,4,8,0,7,191,4,1
0.572816,2,5,1,2,1,0,24,4,0
0.572816,2,5,1,2,1,0,24,4,0
0,2,5,2,2,1,0,25,4,0
0,1,5,2,5,1,0,24,4,1
0.250646,1,24,5,10,1,0,84,7,1
0.522613,1,35,5,10,1,0,120,7,1
0.495674,1,46,5,10,1,0,151,7,1
0,5,21,13,26,0,0,202,8,0
0.147656,12,264,29,105,1,0,1143,46,1
0,1,4,3,8,1,0,20,3,0
0.219731,1,28,7,11,0,3,109,2,0
0,1,4,3,6,1,0,18,3,0
0,1,4,3,7,1,0,19,3,0
0.279101,5,125,4,67,0,0,425,39,0
0,1,1,1,2,1,0,7,4,0
0,1,1,1,2,1,0,8,4,0
0,1,1,1,2,1,0,7,4,0
0,1,5,1,6,0,3,25,3,0
0,3,10,1,9,1,0,34,7,0
0.177632,4,22,3,14,0,0,68,9,0
0.10998,4,38,4,32,0,0,114,27,0
0,3,9,1,8,1,0,26,7,0
0.0830861,1,49,9,16,1,0,151,3,1
0.309158,2,123,7,71,0,0,416,39,0
0,3,4,0,4,0,0,22,4,0
0,3,9,2,11,0,0,33,7,0
0.985061,6,906,3,130,0,0,7744,93,0
0,1,7,7,10,2,0,44,82,0
0.370594,1,45,1,35,0,2,491,34,0
0,1,2,1,3,1,0,18,36,0
0,1,2,1,3,1,0,16,36,0
0.254975,1,18,2,21,0,0,279,18,0
0.733523,2,103,3,64,1,0,864,53,0
0,1,1,0,1,0,0,5,1,0
0,3,35,9,46,0,0,298,17,0
0,1,7,7,10,2,0,42,82,0
0,1,45,4,21,2,0,250,89,0
0.368267,4,167,8,94,0,0,1785,45,0
0,2,4,0,3,0,0,19,3,0
0.875,1,4,0,1,0,0,15,1,0
0,2,2,0,2,0,0,9,2,0
0,1,2,0,1,0,0,8,1,0
0.684999,2,142,4,101,1,0,1403,93,0
0.616484,5,166,5,82,1,0,1204,61,0
1,1,27,1,12,0,0,56,0,0
0.535423,8,130,6,61,1,0,905,37,0
1,1,27,0,12,0,0,60,0,0
0,1,1,0,1,0,0,5,1,0
0.789857,2,119,3,73,1,0,1103,65,0
0,1,1,0,1,0,0,5,1,0
0,0,1,4,5,1,0,15,11,0
0.151011,7,15,9,16,0,0,196,9,0
0,1,5,2,3,1,0,12,1,0
0,1,2,2,2,1,0,11,1,0
0,1,5,3,3,1,0,19,1,0
0,1,1,2,1,1,0,5,1,0
0.5,1,1,2,2,0,0,15,1,0
1,3,3,1,3,0,0,16,3,0
0.467391,1,2,2,3,0,0,15,1,0
1,3,3,1,3,0,0,16,3,0
0.421569,1,3,2,3,0,0,15,1,0
1,3,3,1,3,0,0,16,3,0
0,1,10,2,3,1,0,38,1,0
0,1,3,1,1,0,0,11,1,0
0,1,7,5,11,0,0,45,2,0
0,0,1,0,1,0,0,34,0,0
0,1,11,8,14,3,0,57,32,0
0,1,21,5,25,2,0,152,18,0
0,0,1,0,1,0,0,9,0,0
0,1,16,6,29,2,1,117,27,0
0,1,27,8,33,2,0,167,18,0
0,1,1,0,1,0,0,6,1,0
0,0,2,1,2,1,0,14,3,0
0,0,2,1,2,1,0,14,3,0
0,1,31,0,5,0,0,250,2,0
0,1,2,6,12,0,0,52,2,0
0.543452,1,137,1,32,1,4,778,81,0
0.085226,1,160,32,97,0,0,985,42,1
0,8,15,7,20,0,0,101,14,0
0,6,12,2,14,0,0,80,11,0
0,6,14,5,15,0,0,91,12,0
0,3,92,23,87,0,1,760,40,1
0,1,2,2,5,0,0,9,1,1
0.175359,17,28,19,59,0,0,327,26,0
0,1,7,6,20,0,0,69,7,0
0,2,18,2,20,0,0,110,18,0
0,2,21,1,19,0,0,126,18,0
0,1,19,2,36,1,0,130,31,0
0.570248,1,22,0,9,0,0,207,4,0
0,1,35,2,31,0,3,232,19,0
0,1,23,3,34,1,10,125,17,1
0,1,8,4,15,2,0,60,24,0
0,0,1,0,1,0,0,11,1,0
0,1,15,5,18,2,0,51,22,0
0,1,8,2,6,0,0,29,1,0
0,9,11,3,12,2,0,63,27,1
0,1,9,4,14,2,0,44,21,0
0,13,14,3,28,2,0,72,30,1
0,1,3,7,7,0,0,29,1,1
0,1,18,18,36,0,0,82,18,0
0.505271,7,8,4,11,0,0,55,7,1
0,1,1,0,1,0,0,5,1,0
0,1,1,1,1,1,0,6,1,0
0,1,1,3,1,1,0,6,1,0
0,1,1,3,1,1,0,6,1,0
0.705224,1,26,1,5,0,0,54,5,1
0.708895,1,35,1,5,0,0,70,5,1
0.462025,1,44,1,5,0,0,83,5,1
0,4,39,4,17,0,0,142,7,0
0.0527057,4,204,15,65,1,4,1075,25,0
0,2,6,4,3,1,0,22,2,0
0,2,14,1,2,1,0,52,2,0
0,4,4,1,4,0,0,25,4,0
0,7,13,1,7,0,0,54,7,0
0,1,9,1,8,0,0,35,5,0
0,1,2,3,3,1,0,11,3,0
0,1,4,2,6,0,0,34,4,0
0,2,4,2,3,1,0,20,2,0
0,1,8,3,5,0,0,27,2,0
0,1,33,3,11,0,3,147,2,0
0,1,2,2,2,1,0,11,3,0
0,8,9,3,14,0,0,50,8,0
0,0,1,0,1,0,0,15,1,0
0,1,2,2,2,1,0,11,3,0
0.142271,5,65,10,60,0,0,525,17,0
1,1,1,1,1,2,0,6,25,0
0,1,1,1,1,2,0,6,25,0
1,1,1,1,1,2,0,6,25,0
0,1,1,1,1,2,0,6,25,0
0,1,7,5,10,2,0,37,82,0
0,2,12,7,19,0,1,113,10,0
0,1,1,5,8,0,0,18,1,0
0,1,1,2,7,0,0,8,1,0
0.285714,1,12,2,13,0,0,92,2,0
0.163793,2,6,9,27,0,0,105,3,0
0,1,11,0,3,0,0,40,3,0
0,2,2,2,3,1,0,16,2,0
0.204545,1,1,8,17,0,0,32,1,0
0,2,2,3,6,1,0,19,2,0
0.413793,1,17,0,6,0,0,54,6,0
0.595376,3,3,5,18,0,0,91,3,0
0,1,3,3,8,0,0,32,1,0
0,1,2,1,2,0,0,7,1,0
0,1,2,1,2,0,0,7,1,0
0.566038,1,4,7,19,0,0,62,2,0
0,1,7,0,4,0,0,29,4,0
0,2,2,2,3,1,0,15,2,0
0,1,3,4,10,0,0,27,1,0
0,1,13,0,9,0,0,64,9,0
0,1,2,3,8,0,0,15,1,0
0,1,1,6,14,0,0,50,1,0
0,2,2,1,2,1,0,14,2,0
0,1,2,5,11,0,0,16,1,0
0,1,6,3,7,0,0,46,1,0
0.175342,1,6,9,18,0,0,77,4,0
0,1,1,2,2,0,0,12,1,0
0,1,3,4,5,0,0,24,1,0
0.258065,1,14,1,5,0,0,55,3,0
0,2,2,4,5,1,0,25,2,0
0.328205,1,11,1,4,0,0,49,3,0
0,2,2,2,3,1,0,19,2,0
0,1,8,2,11,0,0,61,3,0
0,1,9,3,15,0,0,57,2,0
0,2,3,4,8,0,0,19,3,0
0,0,0,0,0,0,0,2,0,0
0,1,6,4,9,0,0,33,3,0
0,0,5,1,5,0,0,22,4,0
0,2,9,3,17,0,0,68,3,0
0,1,2,9,12,0,0,26,1,0
0,1,1,3,6,0,0,12,1,0
0,1,1,0,1,0,5,36,1,0
0.307692,1,19,2,35,1,0,164,31,0
0,1,4,3,8,1,0,25,4,0
0,3,63,6,29,1,0,480,18,0
0,1,2,0,2,0,0,18,0,0
0,1,15,3,6,0,3,54,2,0
0,1,1,2,2,1,0,7,3,0
0,1,4,3,5,1,0,24,6,0
0,2,59,2,16,0,0,347,0,0
0,1,1,2,2,1,0,7,3,0
0,2,26,1,37,0,0,233,20,0
0.0423434,1,47,6,28,1,0,353,12,0
1,3,3,1,3,0,0,17,3,0
0.744186,4,4,2,8,1,0,21,4,0
0,2,7,0,5,0,0,34,5,0
0,1,7,2,9,1,0,36,10,0
0,1,32,0,14,0,1,234,9,0
0,4,41,6,25,1,1,330,12,0
0,1,14,2,5,0,2,71,2,0
0,0,1,0,1,0,0,14,1,0
0,2,5,4,7,1,0,24,6,0
0,1,2,3,4,1,0,12,3,0
0,5,11,3,21,0,0,123,6,0
0,1,1,1,1,2,0,3,12,0
0,1,11,1,12,0,3,85,9,0
0.304975,2,263,0,68,0,1,1585,58,0
0,1,18,5,10,0,0,47,2,0
0,1,1,2,1,1,0,8,1,0
0,3,39,14,25,0,0,285,7,1
0,3,5,1,4,0,0,24,3,0
0,2,8,0,3,0,0,40,3,0
0,7,31,11,35,0,0,180,8,0
0,1,1,2,1,1,0,6,1,0
0,0,1,0,1,0,0,25,0,1
0,1,6,6,13,1,0,69,22,0
0,1,14,6,15,1,0,59,21,0
0,14,20,6,21,0,3,118,17,1
0,1,10,0,3,0,0,32,3,0
0,1,5,3,8,1,0,20,3,0
0,1,19,6,14,1,0,60,21,0
0.647059,3,3,3,15,0,0,75,3,0
0.426471,1,33,0,2,0,1,92,2,0
0,2,4,10,20,1,0,94,5,0
0,0,0,0,0,0,0,6,0,0
0.515759,1,29,1,4,1,0,68,4,0
0,2,3,2,2,1,0,17,2,0
0,2,4,1,2,1,0,13,2,0
0,2,2,1,2,1,0,11,2,0
0,2,3,1,2,1,0,12,2,0
0,2,2,2,2,1,0,12,2,0
0,2,6,1,2,1,0,17,2,0
0,2,3,1,2,1,0,18,2,0
0.127475,2,525,15,58,1,1,1608,5,1
0,1,6,0,3,0,0,48,3,0
0,0,0,0,0,0,0,14,0,0
0.0631001,4,83,7,50,0,1,436,47,0
0,1,1,2,3,1,0,9,47,0
0,1,63,10,39,2,0,400,15,1
0,2,9,3,4,1,0,42,2,0
0,1,12,1,11,0,0,68,10,0
0,2,12,0,6,0,0,66,5,0
0,1,2,2,3,0,0,13,0,0
0,1,3,2,4,0,0,17,0,0
0,7,30,15,52,0,0,282,26,0
0,1,16,0,5,0,1,51,3,0
0,1,11,1,7,1,0,32,5,0
0,1,3,0,3,0,0,19,3,0
0,0,1,0,1,0,0,9,1,0
0,0,0,0,0,0,0,5,0,0
0,3,42,10,35,1,3,237,25,1
0,1,1,1,1,0,0,6,0,0
0,3,86,14,74,2,0,610,27,1
0,4,7,10,26,1,0,98,23,0
0.0567356,4,159,11,68,2,2,936,27,1
0,1,16,3,18,0,0,90,7,0
0,3,5,2,3,3,0,23,27,0
0.138772,6,51,12,56,1,1,399,44,0
0,8,38,7,31,2,0,237,26,0
0,3,3,3,4,1,0,14,19,0
0.091223,2,126,12,73,3,1,859,41,1
0,3,3,9,14,2,0,36,45,0
0,1,4,3,3,0,2,18,1,0
0.941693,11,1525,1,156,0,0,13459,154,0
0,1,3,0,1,0,0,8,1,0
0.875,1,4,0,1,0,0,15,1,0
0,1,40,6,30,2,0,193,27,1
0,7,45,12,38,1,0,219,17,0
0,6,9,8,34,0,0,97,9,0
0,1,11,5,13,0,0,48,4,1
0,1,20,7,18,0,0,117,6,0
0,1,3,3,2,0,0,18,1,0
0,1,2,3,2,1,0,12,1,0
0,1,3,3,2,0,0,16,1,0
0,1,1,5,4,1,0,7,1,0
0,1,3,3,2,0,0,16,1,0
0,1,2,5,4,1,0,9,1,0
0,0,0,0,0,0,0,3,0,0
0.0488323,22,51,9,35,0,0,279,22,0
0,1,1,0,1,0,0,6,1,0
0,1,5,0,1,0,0,6,1,0
0.435294,5,8,4,16,0,0,71,5,0
0,2,2,1,2,1,0,11,2,0
0.0747212,5,37,6,31,0,4,186,29,1
0,3,3,2,4,1,0,16,3,1
0,3,3,3,4,1,0,14,3,1
0,3,35,3,16,1,2,175,29,1
0.242169,2,48,2,22,1,0,235,32,1
0,1,31,3,10,2,0,115,31,1
0,3,12,3,10,2,0,58,31,1
0.168803,9,28,8,43,0,3,206,16,0
0,1,4,1,3,0,0,9,1,0
0,0,1,4,3,1,0,5,16,0
0,0,1,3,2,1,0,5,16,0
0,0,1,4,3,1,0,5,16,0
