project_name,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,clsCoef,hubs,t2,t3,t4,c1,c2,score,Chi2,MutualInfo,ReliefF,Lasso
BugPrediction_Eclipse,0.719,0.419,0.015,0.98,0.96,0.195,0.166,0.156,0.113,0.427,0.226,0.153,0.457,0.99,0.577,0.18,0.404,0.009,0.001,0.111,0.265,0.512,0.365,1.0,0.677,1.0,1.0
BugPrediction_Equinox,0.702,0.382,0.012,0.718,0.63,0.238,0.251,0.201,0.163,0.412,0.339,0.285,0.558,0.947,0.722,0.251,0.528,0.028,0.003,0.111,0.032,0.084,0.345,1.0,0.6966,0.5391,0.6345
BugPrediction_lucene,0.789,0.299,0.027,0.951,0.839,0.118,0.081,0.084,0.072,0.74,0.133,0.1,0.33,0.968,0.475,0.167,0.323,0.013,0.001,0.111,0.55,0.795,0.362,1.0,0.5529,0.7425,0.6471
BugPrediction_Mylyn,0.812,0.467,0.011,0.99,0.964,0.182,0.142,0.135,0.111,0.591,0.207,0.146,0.488,0.993,0.537,0.161,0.352,0.006,0.001,0.111,0.393,0.661,0.385,1.0,0.7529,0.8517,0.8287
BugPrediction_PDE,0.873,0.526,0.005,0.972,0.922,0.177,0.136,0.137,0.102,0.659,0.2,0.152,0.48,0.992,0.671,0.219,0.469,0.006,0.001,0.111,0.417,0.684,0.405,1.0,0.3851,0.8494,0.8563
Github_Android,0.733,0.402,0.007,0.822,0.452,0.226,0.219,0.192,0.192,0.549,0.329,0.233,0.589,0.937,0.74,0.31,0.539,0.123,0.014,0.111,0.153,0.339,0.373,0.6839,0.3425,0.5575,0.9356
Github_antlr4,0.736,0.152,0.001,0.804,0.559,0.058,0.038,0.044,0.039,0.821,0.081,0.046,0.194,0.9,0.508,0.205,0.347,0.019,0.002,0.111,0.74,0.908,0.332,1.0,0.4644,0.8184,0.7115
Github_BroadleafCommerce,0.742,0.357,0.043,0.896,0.836,0.187,0.162,0.151,0.086,0.551,0.158,0.129,0.363,0.982,0.527,0.117,0.343,0.006,0.001,0.111,0.313,0.573,0.347,1.0,0.9667,1.0,0.9356
Github_ceylon,0.833,0.267,0.004,0.9,0.85,0.069,0.043,0.043,0.039,0.784,0.077,0.043,0.198,0.939,0.341,0.064,0.208,0.006,0.001,0.111,0.748,0.912,0.34,1.0,0.6414,0.5943,0.7057
Github_Elasticsearch,0.872,0.432,0.004,0.979,0.973,0.151,0.111,0.112,0.075,0.738,0.145,0.116,0.378,0.997,0.509,0.132,0.333,0.002,0.0,0.111,0.486,0.745,0.382,1.0,0.8747,0.8149,1.0
Github_hazelcast,0.794,0.361,0.068,0.998,0.992,0.141,0.102,0.101,0.074,0.681,0.133,0.102,0.394,0.995,0.648,0.151,0.466,0.003,0.0,0.111,0.496,0.753,0.389,1.0,0.5885,0.8517,1.0
Github_JUnit,0.867,0.217,0.001,0.981,0.934,0.071,0.044,0.042,0.042,0.81,0.064,0.047,0.205,0.94,0.352,0.076,0.215,0.012,0.003,0.222,0.723,0.9,0.353,1.0,0.6195,0.669,0.877
Github_mapdb,0.831,0.299,0.001,0.858,0.743,0.14,0.106,0.112,0.089,0.755,0.184,0.106,0.402,0.962,0.461,0.143,0.285,0.027,0.003,0.111,0.468,0.73,0.355,1.0,0.4586,0.5011,0.7069
Github_mcMMO,0.677,0.299,0.004,0.681,0.601,0.187,0.163,0.146,0.106,0.508,0.203,0.159,0.465,0.915,0.631,0.181,0.433,0.03,0.003,0.111,0.3,0.557,0.335,1.0,0.5897,0.7287,0.6954
Github_mct17,0.838,0.038,0.0,0.246,0.179,0.008,0.004,0.005,0.003,0.937,0.005,0.005,0.019,0.525,0.425,0.097,0.268,0.005,0.001,0.111,0.956,0.99,0.258,1.0,0.3517,0.6149,0.7494
Github_Neo4j,0.978,0.376,0.001,0.929,0.903,0.019,0.01,0.01,0.009,0.974,0.017,0.01,0.071,0.984,0.31,0.077,0.191,0.002,0.0,0.111,0.92,0.98,0.358,1.0,0.2874,0.6632,0.8287
Github_Netty,0.817,0.499,0.086,0.986,0.965,0.231,0.213,0.209,0.133,0.507,0.236,0.215,0.533,0.993,0.673,0.177,0.476,0.008,0.001,0.111,0.21,0.433,0.396,1.0,0.5368,1.0,0.7276
Github_orientdb,0.829,0.437,0.099,0.973,0.964,0.18,0.143,0.147,0.089,0.639,0.161,0.148,0.43,0.994,0.538,0.131,0.348,0.005,0.001,0.111,0.386,0.654,0.382,1.0,0.4069,0.9356,0.9356
Github_oryx,0.759,0.259,0.022,0.908,0.833,0.14,0.113,0.114,0.079,0.674,0.135,0.113,0.396,0.973,0.496,0.145,0.325,0.017,0.002,0.111,0.419,0.686,0.351,0.9667,0.331,0.8287,0.7069
Github_titan,0.964,0.611,0.003,0.963,0.904,0.105,0.065,0.065,0.05,0.819,0.097,0.08,0.245,0.957,0.282,0.045,0.162,0.006,0.001,0.111,0.652,0.861,0.366,0.9345,0.4138,0.9356,0.9069
Promise_ant14,0.609,0.312,0.001,0.936,0.871,0.193,0.172,0.16,0.129,0.464,0.263,0.144,0.486,0.982,0.667,0.217,0.489,0.012,0.001,0.111,0.235,0.47,0.36,1.0,1.0,0.5437,1.0
Promise_camel16,0.904,0.629,0.014,0.961,0.912,0.226,0.195,0.196,0.136,0.597,0.278,0.188,0.528,0.987,0.515,0.109,0.347,0.01,0.002,0.222,0.272,0.522,0.398,0.7977,0.3747,1.0,0.8563
Promise_ckjm18,0.411,0.055,0.0,0.333,0.0,0.0,0.0,0.0,0.167,0.375,0.556,0.222,0.667,0.79,0.972,1.0,0.778,1.0,0.111,0.111,0.009,0.024,0.345,0.9667,0.2172,0.6586,0.431
Promise_forrest08,0.935,0.38,0.0,0.406,0.0,0.095,0.062,0.062,0.062,0.867,0.188,0.062,0.188,0.72,0.946,0.693,0.844,0.281,0.031,0.111,0.663,0.867,0.385,0.9046,0.4161,0.5011,0.4195
Promise_ivy20,0.662,0.254,0.06,0.75,0.628,0.133,0.102,0.111,0.075,0.616,0.142,0.108,0.352,0.953,0.42,0.115,0.265,0.026,0.003,0.111,0.489,0.748,0.324,1.0,0.6782,0.7483,0.6954
Promise_jedit43,0.874,0.111,0.0,0.585,0.335,0.033,0.022,0.02,0.014,0.906,0.033,0.02,0.067,0.824,0.41,0.176,0.279,0.018,0.002,0.111,0.846,0.954,0.302,0.9667,0.3092,0.5345,1.0
Promise_log4j,0.981,0.697,0.0,0.702,0.337,0.072,0.078,0.078,0.071,0.882,0.127,0.078,0.346,0.953,0.629,0.222,0.438,0.044,0.005,0.111,0.605,0.832,0.377,0.8253,0.3713,0.7805,0.8149
Promise_lucene24,0.865,0.584,0.0,0.935,0.867,0.249,0.301,0.215,0.162,0.534,0.316,0.271,0.693,0.989,0.706,0.175,0.623,0.027,0.003,0.111,0.028,0.075,0.397,1.0,0.2425,0.6414,0.7828
Promise_pbeans2,0.673,0.239,0.0,0.686,0.216,0.126,0.098,0.137,0.167,0.363,0.314,0.098,0.431,0.893,0.551,0.224,0.357,0.176,0.02,0.111,0.286,0.54,0.305,1.0,0.1977,0.2828,0.4954
Promise_poi30,0.77,0.505,0.0,0.957,0.921,0.194,0.219,0.176,0.122,0.538,0.219,0.208,0.473,0.983,0.71,0.19,0.587,0.02,0.002,0.111,0.054,0.137,0.368,1.0,0.4552,0.7736,1.0
Promise_synapse12,0.719,0.438,0.021,0.918,0.828,0.23,0.223,0.199,0.16,0.45,0.312,0.266,0.668,0.983,0.805,0.292,0.643,0.035,0.004,0.111,0.079,0.194,0.39,1.0,0.5,0.7517,0.9023
Promise_velocity16,0.709,0.443,0.0,0.763,0.658,0.236,0.232,0.25,0.156,0.44,0.285,0.329,0.544,0.964,0.772,0.243,0.6,0.039,0.004,0.111,0.073,0.181,0.365,1.0,0.6897,0.8517,0.7874
Promise_xalan27,0.99,0.443,0.0,0.3,0.057,0.005,0.006,0.004,0.006,0.983,0.008,0.009,0.036,0.811,0.628,0.234,0.441,0.01,0.001,0.111,0.906,0.976,0.317,1.0,0.8437,0.7598,0.6402
Promise_xerces,0.88,0.439,0.0,0.777,0.672,0.202,0.244,0.201,0.138,0.657,0.244,0.229,0.482,0.976,0.771,0.185,0.642,0.016,0.002,0.111,0.152,0.337,0.38,0.746,0.6874,0.8805,0.9333
